1000, 1027500	1000, 700200	1000, 31100
11000, 1337900	11000, 55300	11000, 52200
21000, 2242200	21000, 75500	21000, 98400
31000, 144800	31000, 58400	31000, 61300
41000, 97200	41000, 83800	41000, 50900
51000, 136600	51000, 60100	51000, 36700
61000, 162700	61000, 66400	61000, 45900
71000, 224600	71000, 52300	71000, 56500
81000, 144000	81000, 31900	81000, 35100
91000, 130500	91000, 36700	91000, 46700
101000, 130800	101000, 30700	101000, 39500
111000, 232600	111000, 25400	111000, 70400
121000, 178000	121000, 35400	121000, 64800
131000, 125800	131000, 59100	131000, 41500
141000, 167500	141000, 68000	141000, 90400
151000, 435500	151000, 33300	151000, 31800
161000, 175500	161000, 24800	161000, 32500
171000, 201800	171000, 46400	171000, 70700
181000, 222100	181000, 36900	181000, 63700
191000, 262900	191000, 47400	191000, 20600
201000, 224000	201000, 24300	201000, 16800
211000, 188300	211000, 24300	211000, 15400
221000, 204600	221000, 28600	221000, 16800
231000, 175200	231000, 39500	231000, 20500
241000, 233300	241000, 28800	241000, 22200
251000, 305900	251000, 25600	251000, 17100
261000, 203300	261000, 32600	261000, 38900
271000, 293200	271000, 25900	271000, 21800
281000, 234600	281000, 38200	281000, 19600
291000, 311300	291000, 34000	291000, 19800
301000, 258700	301000, 55800	301000, 17800
311000, 236300	311000, 36300	311000, 41600
321000, 295100	321000, 35500	321000, 19500
331000, 248000	331000, 32700	331000, 17800
341000, 249100	341000, 44000	341000, 20900
351000, 269200	351000, 71600	351000, 27900
361000, 299700	361000, 38700	361000, 24900
371000, 377700	371000, 26600	371000, 16800
381000, 211500	381000, 28300	381000, 16400
391000, 271600	391000, 50500	391000, 38900
401000, 526200	401000, 27200	401000, 17800
411000, 245900	411000, 40200	411000, 20500
421000, 300900	421000, 24900	421000, 18200
431000, 244400	431000, 28000	431000, 17300
441000, 238200	441000, 33300	441000, 17700
451000, 308100	451000, 29100	451000, 19900
461000, 234700	461000, 32900	461000, 17700
471000, 290400	471000, 33700	471000, 18900
481000, 330200	481000, 47500	481000, 20100
491000, 327500	491000, 30200	491000, 16500
501000, 237500	501000, 30700	501000, 17000
511000, 298300	511000, 28100	511000, 18100
521000, 299400	521000, 32700	521000, 20100
531000, 283300	531000, 48800	531000, 17200
541000, 300900	541000, 29300	541000, 17100
551000, 304700	551000, 28800	551000, 16600
561000, 312300	561000, 28000	561000, 17800
571000, 268400	571000, 33200	571000, 22100
581000, 466200	581000, 33800	581000, 18200
591000, 345600	591000, 29500	591000, 18000
601000, 323200	601000, 26500	601000, 16600
611000, 327400	611000, 44800	611000, 48600
621000, 1032800	621000, 48800	621000, 27300
631000, 802400	631000, 33400	631000, 20600
641000, 388500	641000, 34800	641000, 27900
651000, 444400	651000, 35200	651000, 39800
661000, 380100	661000, 34200	661000, 18700
671000, 448800	671000, 29800	671000, 19000
681000, 319500	681000, 30900	681000, 18100
691000, 452300	691000, 30700	691000, 21200
701000, 422400	701000, 35400	701000, 35100
711000, 405400	711000, 47600	711000, 41200
721000, 812400	721000, 34700	721000, 18800
731000, 491500	731000, 36700	731000, 18500
741000, 459700	741000, 49600	741000, 19700
751000, 426800	751000, 38200	751000, 20300
761000, 510900	761000, 34300	761000, 19900
771000, 725400	771000, 30700	771000, 21100
781000, 446200	781000, 28100	781000, 49500
791000, 401800	791000, 28700	791000, 17800
801000, 380400	801000, 35200	801000, 19800
811000, 478600	811000, 41400	811000, 24500
821000, 492000	821000, 33600	821000, 26600
831000, 806100	831000, 33600	831000, 23200
841000, 511400	841000, 32500	841000, 20500
851000, 459100	851000, 36900	851000, 19900
861000, 399800	861000, 31500	861000, 17500
871000, 414200	871000, 32200	871000, 18900
881000, 441900	881000, 26300	881000, 16800
891000, 459900	891000, 28800	891000, 17200
901000, 416500	901000, 57400	901000, 58800
911000, 1205900	911000, 30200	911000, 17400
921000, 415400	921000, 29800	921000, 21100
931000, 431600	931000, 35400	931000, 23000
941000, 579300	941000, 34500	941000, 26000
951000, 495200	951000, 35600	951000, 18700
961000, 763500	961000, 33200	961000, 19900
971000, 607200	971000, 39700	971000, 22500
981000, 881700	981000, 37400	981000, 21400
991000, 448900	991000, 31400	991000, 17900
1001000, 459300	1001000, 32500	1001000, 18800
